Venue,Latitude,Longitude,Venue Category
Dollar Tree,39.1461764559397,-77.1452422100339,Discount Store
Shell,39.105993728511564,-77.15151698226967,Convenience Store
Sunoco,39.171568423741796,-77.23532116871081,Gas Station
CVS Pharmacy,39.176987,-77.2692,Convenience Store
7-Eleven,39.1753206,-77.271059,Convenience Store
Dollar Tree,39.14832090230188,-77.27431464544364,Discount Store
7-Eleven,39.146499,-77.203887,Convenience Store
7-Eleven,39.1630887502442,-77.2265294194221,Convenience Store
7-Eleven,39.17341753999685,-77.25768611068048,Convenience Store
7-Eleven,39.1567669,-77.2659748,Convenience Store
7-Eleven,39.1722626,-77.2059265,Convenience Store
7-Eleven,39.1623681461751,-77.2807663679123,Convenience Store
7-Eleven,39.1786553230364,-77.2702896595001,Convenience Store
Dollar Tree,39.17207315831893,-77.2051000644067,Discount Store
7-Eleven,39.179967282514,-77.262165248394,Convenience Store
CVS pharmacy,39.181755525694285,-77.23792524098901,Convenience Store
Shell,39.148157324341895,-77.20617279410362,Convenience Store
Shell,39.14193964238288,-77.22154051065445,Convenience Store
Shell,39.17304572854947,-77.20395288433343,Convenience Store
7-Eleven,39.178590219299906,-77.2391392791294,Convenience Store
Shell,39.177330863675124,-77.27013543248177,Convenience Store
7-Eleven,39.1233748578362,-77.2335675358772,Convenience Store
Boyds Country Store,39.184711,-77.314391,Convenience Store
Services Unlimited,39.153594,-77.204181,Convenience Store
Choice Market,39.16308,-77.20514399999999,Convenience Store
Walgreens,39.181740455432774,-77.26222581388339,Convenience Store
Circle K,39.1809928,-77.2616182,Convenience Store
Dollar & More,39.127982,-77.20529300000001,Convenience Store
Chennai Spices,39.144354,-77.219421,Convenience Store
Megamart International food,39.14659530267758,-77.20334865507479,Convenience Store
Shell,39.145505211038234,-77.21956391757442,Convenience Store
Washingtonian Express,39.116806604630604,-77.205985510257,Convenience Store
Shell,39.117407675196496,-77.25232401676585,Convenience Store
Royal Farms,39.10067256202812,-76.72006247438853,Convenience Store
BP,39.09936639924484,-76.81081430481387,Convenience Store
7-Eleven,39.0981099049018,-76.8099971115589,Convenience Store
Route 198 Shell,39.10069121814976,-76.81563310325151,Convenience Store
Lee's Market,39.08837331223895,-76.82388939366842,Convenience Store
Wawa,39.027344,-76.917137,Convenience Store
7-Eleven,39.0933982660909,-76.8423342639349,Convenience Store
Dollar Tree,39.09608299919317,-76.83960784060473,Discount Store
Walgreens,39.0987958,-76.8483785,Convenience Store
Royal Farms # 244,39.080726,-76.887519,Convenience Store
7-Eleven,39.1021076634872,-76.8565267324447,Convenience Store
7-Eleven,39.0832532,-76.8623986,Convenience Store
Shell,39.06327573141207,-76.83871954679489,Convenience Store
7-Eleven,39.0844047,-76.9520945,Convenience Store
Dollar Tree,39.08270700902622,-76.94522714495572,Discount Store
7-Eleven,39.0486409622574,-76.9170539562946,Convenience Store
7 Eleven,39.093403,-76.842348,Convenience Store
7-Eleven,39.0557926210058,-76.8371731961225,Convenience Store
7-Eleven,39.040869621999285,-76.90503180027002,Convenience Store
7-Eleven,39.0440142380095,-76.9516941905021,Convenience Store
Shell,39.03350549561714,-76.9098387473332,Convenience Store
7-Eleven,39.0288586651007,-76.9169041755526,Convenience Store
Shell,39.074025306898335,-76.84849083423615,Convenience Store
Shell,39.10195051335077,-76.85849077999586,Gas Station
Shell,39.0404695,-76.9476909,Gas Station
Shell,39.02185311915924,-76.92439466714859,Convenience Store
BP,39.07905731678026,-76.86540133840221,Convenience Store
Shell,39.0291669628541,-76.91630110144615,Convenience Store
Shell,39.099807616600735,-76.90256416797638,Convenience Store
Dollar Tree,39.085862,-76.86383199999999,Discount Store
Dash In,39.0998007,-76.9025563,Convenience Store
Walgreens,39.02818485100057,-76.91852024419262,Convenience Store
24/7 Convenience,39.1037754420879,-76.87196377451495,Convenience Store
Walgreens,39.064054,-76.838788,Convenience Store
Calverton Liquors,39.048528999999995,-76.937394,Convenience Store
Laurel Food Mart,39.09538976627528,-76.848089565829,Convenience Store
Shell,39.09857992101452,-76.84971742456912,Convenience Store
Shell,39.10180080662174,-76.85863761660804,Convenience Store
7-Eleven,39.0928653911457,-77.0459738373756,Convenience Store
7-Eleven,39.0430153506437,-77.0474591106176,Convenience Store
7-Eleven,39.0347424788904,-77.0716385543346,Convenience Store
7-Eleven,39.0419369392042,-77.0522350072878,Convenience Store
7-Eleven,39.0292442102009,-77.0749610874236,Convenience Store
7-Eleven,39.0398758984029,-76.9892759621143,Convenience Store
7-Eleven,39.0759659195463,-77.001345823528,Convenience Store
7-Eleven,39.0566006748851,-76.9653788208961,Convenience Store
7-Eleven,39.0232180106684,-76.9776660203933,Convenience Store
Dollar Tree,39.05273927209002,-77.05011155626354,Discount Store
Shell,39.08044470057178,-77.07988902926445,Convenience Store
Shell,39.03897965,-76.99062665,Gas Station
7-Eleven,39.0610646,-77.0517786,Convenience Store
7-Eleven,39.0279505,-77.0769564,Convenience Store
BP,39.02302452851122,-76.9786428839337,Convenience Store
Shell,39.022960144566326,-76.9776947292783,Convenience Store
7-Eleven,39.0853301694353,-77.0777204632759,Convenience Store
Shell,39.02781489185208,-77.0762037342054,Convenience Store
Shell,39.042839,-77.052488,Convenience Store
Shell,39.03893320219869,-76.99090674519539,Convenience Store
