Venue,Latitude,Longitude,Venue Category
Dollar Tree,38.89996108160088,-76.9799648151485,Discount Store
Big Lots,38.921725983021794,-76.9987540876132,Big Box Store
Nordstrom Rack,38.89677773748374,-77.02775917790984,Discount Store
Family Dollar,38.90001114530788,-76.99067026786861,Discount Store
Family Dollar,38.93009,-76.973148,Discount Store
Express,38.8634316,-77.0601513,Clothing Store
Super Dollar,38.86525,-77.199044,Discount Store
Family Depot,38.86992,-77.14753,Discount Store
Nordstrom Rack,38.9128457,-77.2231522,Discount Store
Dollar Tree,38.899561,-77.268239,Discount Store
Tuesday Morning,38.862881,-77.27815,Discount Store
Tuesday Morning,38.90059,-77.265991,Discount Store
Dollar Tree,38.887849714565796,-77.24348974791188,Discount Store
Just $1,38.900208,-77.266362,Discount Store
Nordstrom Rack,38.859288,-77.36739,Discount Store
Dollar Tree,38.88829181823811,-77.41924461314925,Discount Store
Dollar Tree,38.86869424847225,-77.44703803749226,Discount Store
Five Below,38.8800046,-77.3999479,Discount Store
"Good Deals, Inc.",38.86117935180664,-77.33139038085938,Discount Store
Dollar Tree,38.8889208333333,-77.4185975,Discount Store
Plow & Hearth Fairfax Store,38.85782010277041,-77.35825855767578,Furniture / Home Store
Dollar General,38.81262923629522,-76.74158438398305,Discount Store
Family Dollar,38.821087,-76.763924,Discount Store
Dollar Tree,38.835002842204524,-76.94479565782335,Discount Store
Family Dollar,38.803079647170215,-76.95235879089124,Discount Store
Dollar Tree,38.849079148293654,-76.88282424722529,Discount Store
Five Below,38.8470174,-76.886622,Discount Store
Family Dollar,38.81928733418864,-76.89021229425454,Discount Store
Family Dollar,38.794115000000005,-76.92681400000001,Discount Store
Dollar General,38.85029541494769,-76.92737380400527,Discount Store
Family Dollar,38.82975112122848,-76.94249029361832,Discount Store
Family Dollar,38.851581,-76.892837,Discount Store
Dollar Tree,38.85557496833421,-76.91158963103696,Discount Store
Forman Mills,38.845877,-76.87187,Discount Store
ShopSmart Outlet,38.81907186055257,-76.89162611961365,Discount Store
Lidl,38.85038177,-76.88184186,Discount Store
Dollar Tree,38.80569620693638,-76.98087507717321,Discount Store
Five Below,38.82251429771516,-76.98880732201997,Discount Store
Family Dollar,38.78857716927308,-76.99767168368594,Discount Store
Family Dollar,38.80473,-76.99265600000001,Discount Store
Family Dollar,38.8126,-76.962644,Discount Store
Family Dollar,38.81911157191503,-76.9994974333906,Discount Store
Dollar Tree,38.817615369555654,-77.00369098152593,Discount Store
Family Dollar,38.833715233333336,-76.95975557,Discount Store
Dollar Tree,38.83231765993918,-77.20281280827164,Discount Store
Nordstrom Rack,38.77488637209224,-77.17351252513123,Discount Store
Five Below,38.774316,-77.17427099999999,Discount Store
Five Below,38.819490643041235,-77.1410086199462,Discount Store
Tuesday Morning,38.84931720203827,-77.12306320667267,Discount Store
Tuesday Morning,38.7840644,-77.1215316,Discount Store
Dollar Tree,38.773602000000004,-77.185348,Discount Store
Dollar Tree,38.78410322798113,-77.12171943235055,Discount Store
Dollar Tree,38.812386313365,-77.18446323532935,Discount Store
Dollar Tree,38.81816877300804,-77.14003926242162,Discount Store
NOVA Overstock,38.807295,-77.12451,Discount Store
Dollar Market,38.806473,-77.13325,Discount Store
Dollar Tree,38.77712492342865,-77.26378692252676,Discount Store
Tuesday Morning,38.7809596,-77.2356701,Discount Store
Five Below,38.844470712384776,-77.27571848087575,Discount Store
Dollar Tree,38.84291430586162,-77.2731567426617,Discount Store
Dollar Plus,38.825768,-77.21438,Discount Store
Dollar Tree,38.8395143492387,-77.43351911264445,Discount Store
