Lat1,Long1,Lat2,Long2
39.27,-76.71,39.18714285714286,-76.83333333333333
39.27,-76.83333333333333,39.18714285714286,-76.95666666666666
39.27,-76.95666666666666,39.18714285714286,-77.08
39.27,-77.08,39.18714285714286,-77.20333333333333
39.27,-77.20333333333333,39.18714285714286,-77.32666666666667
39.27,-77.32666666666667,39.18714285714286,-77.45
39.18714285714286,-76.71,39.104285714285716,-76.83333333333333
39.18714285714286,-76.83333333333333,39.104285714285716,-76.95666666666666
39.18714285714286,-76.95666666666666,39.104285714285716,-77.08
39.18714285714286,-77.08,39.104285714285716,-77.20333333333333
39.18714285714286,-77.20333333333333,39.104285714285716,-77.32666666666667
39.18714285714286,-77.32666666666667,39.104285714285716,-77.45
39.104285714285716,-76.71,39.02142857142857,-76.83333333333333
39.104285714285716,-76.83333333333333,39.02142857142857,-76.95666666666666
39.104285714285716,-76.95666666666666,39.02142857142857,-77.08
39.104285714285716,-77.08,39.02142857142857,-77.20333333333333
39.104285714285716,-77.20333333333333,39.02142857142857,-77.32666666666667
39.104285714285716,-77.32666666666667,39.02142857142857,-77.45
39.02142857142857,-76.71,38.93857142857143,-76.83333333333333
39.02142857142857,-76.83333333333333,38.93857142857143,-76.95666666666666
39.02142857142857,-76.95666666666666,38.93857142857143,-77.08
39.02142857142857,-77.08,38.93857142857143,-77.20333333333333
39.02142857142857,-77.20333333333333,38.93857142857143,-77.32666666666667
39.02142857142857,-77.32666666666667,38.93857142857143,-77.45
38.93857142857143,-76.71,38.855714285714285,-76.83333333333333
38.93857142857143,-76.83333333333333,38.855714285714285,-76.95666666666666
38.93857142857143,-76.95666666666666,38.855714285714285,-77.08
38.93857142857143,-77.08,38.855714285714285,-77.20333333333333
38.93857142857143,-77.20333333333333,38.855714285714285,-77.32666666666667
38.93857142857143,-77.32666666666667,38.855714285714285,-77.45
38.855714285714285,-76.71,38.77285714285714,-76.83333333333333
38.855714285714285,-76.83333333333333,38.77285714285714,-76.95666666666666
38.855714285714285,-76.95666666666666,38.77285714285714,-77.08
38.855714285714285,-77.08,38.77285714285714,-77.20333333333333
38.855714285714285,-77.20333333333333,38.77285714285714,-77.32666666666667
38.855714285714285,-77.32666666666667,38.77285714285714,-77.45
38.77285714285714,-76.71,38.69,-76.83333333333333
38.77285714285714,-76.83333333333333,38.69,-76.95666666666666
38.77285714285714,-76.95666666666666,38.69,-77.08
38.77285714285714,-77.08,38.69,-77.20333333333333
38.77285714285714,-77.20333333333333,38.69,-77.32666666666667
38.77285714285714,-77.32666666666667,38.69,-77.45
